userID,firstName,middleName,lastName,email,password,type,points
11118001,Irfan,Bilal,Habib,11118001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11118002,Gajendra,,Bhatia,11118002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11119001,Sheetal,,Desai,11119001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11118003,Vikas,,Dubey,11118003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11118004,Pramod,Ranjan,Mishra,11118004@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11119003,Mohammed,Asghar,Khan,11119003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11119002,Soham,,Singhal,11119002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11120001,Zorawar,,Hashmi,11120001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11120002,Pritam,Kumar,Banerjee,11120002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11120004,Ketan,,Parikh,11120004@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11120003,Payel,,Sorkar,11120003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11120005,Shreya,,Upadhyay,11120005@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11120006,Shantilal,,Gokhale,11120006@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
21195001,Mousumi,,Adhikary,21195001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
21199002,Jhulan,,Goswami,21199002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
21105003,Piu,,Pradhan,21105003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
11216001,Meryl,,Jones,11216001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11216002,Stephen,James,Jacob,11216002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11216003,Pulkit,,Garg,11216003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11217001,Karl,Wells,Jacobs,11217001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11217002,Theodore,,Jones,11217002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11217003,Seema,,Narang,11217003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11217004,Gagan,Pratap,Narang,11217004@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11218001,Rahul,,Tyagi,11218001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11218002,Mausumi,,Ghose,11218002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11218003,Prokash,,Mondal,11218003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11219001,Vicky,,Singh,11219001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11219002,Shweta,,Pillai,11219002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11220001,Shaheb,Ranjan,Chowdhury,11220001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
21203001,Babasaheb,,Bhandarkar,21203001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
21200001,Virat,Vishesh,Kulkarni,21200001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
11316001,Tulip,,Sinha,11316001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11316002,Sagar,,Sen,11316002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11317001,Shailesh,,Kamal,11317001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11316003,Indra,Pratap,Thakur,11316003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11317002,Vinayak,,Kumar,11317002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11318001,Mohammed,Aniqul,Haque,11318001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11318002,Sameena,,Alam,11318002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
21301001,Binoy,Kumar,Banerjee,21301001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
11416001,Mehroum,,Ghani,11416001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
21305001,Soumen,,Manna,21305001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Teacher,0
11416003,Vinay,,Lohia,11416003@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11417001,Vinay,,Lokhande,11417001@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11416002,Vinay,,Solanki,11416002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
11417002,Mandar,,Pokshe,11417002@college.co,$2a$12$/HJHifEvKyVSqTrm9/rY3.k6DqMG1DOybLBlIVRsQFE9Xr9vfxfIG,Student,0
